1572584364862,60.1,25.2
1572584347266,60.2,25.3
1572584317053,60.1,25.2
1572584300075,60.1,25.2
1572584228658,60.2,25.2
1572584211205,60.1,25.2
1572584201110,60.1,25.2
1572584114155,60.1,25.2
1572584100491,60.2,25.3
1572584073905,60.1,25.2
1572584053549,60.2,25.3
1572584019467,60.1,25.2
1572583978674,60.2,25.3
1572583968656,60.1,25.3
1572583959806,60,25.2
1572583936359,60.1,25.3
1572583875311,60.2,25.3
1572583844917,60.2,25.3
1572583786620,60.1,25.3
1572583762952,60.1,25.2
1572583739101,60.2,25.2
1572583715152,60.1,25.3
1572583636108,60.1,25.3
1572583582050,60.2,25.2
1572583537361,60.1,25.3
1572583490364,60.2,25.4
1572583470135,60.1,25.2
1572583466819,60.2,25.2
1572583446717,60.1,25.2
1572583433265,60.2,25.3
1572583405860,60.2,25.3
1572583328423,60.2,25.3
1572583266960,60.2,25.3
1572583243164,60.1,25.3
1572583226112,60.2,25.2
1572583135286,60.1,25.3
1572583104572,60.2,25.3
1572583094479,60.2,25.2
1572583077505,60.2,25.3
1572583040236,60.2,25.3
1572582973148,60.2,25.3
1572582918965,60.2,25.3
1572582824220,60.2,25.3
1572582796805,60.3,25.4
1572582749948,60.1,25.4
1572582705542,60.2,25.3
1572582598877,60.1,25.3
1572582571252,60.2,25.3
1572582486111,60.2,25.4
1572582455796,60.2,25.3
1572582405198,60,25.3
1572582374052,60.2,25.4
1572582346648,60.2,25.3
1572582278745,60.1,25.4
1572582207510,60.2,25.4
1572582200794,60.2,25.3
1572582177542,60.2,25.3
1572582160227,60.3,25.4
1572582133015,60.2,25.3
1572582089066,60.3,25.3
1572582085771,60.2,25.3
1572582018489,60.2,25.2
1572582008586,60.2,25.4
1572581981400,60.1,25.3
1572581957105,60.3,25.3
1572581919348,60.3,25.3
1572581888813,60.2,25.4
1572581711221,60.2,25.3
1572581697601,60.3,25.4
1572581684191,60.2,25.3
1572581621655,60.3,25.4
1572581604809,60.2,25.4
1572581553853,60.2,25.4
1572581540778,60.2,25.4
1572581441553,60.3,25.4
1572581434840,60.2,25.2
1572581405207,60.2,25.3
1572581384944,60.2,25.4
1572581374968,60.2,25.3
1572581361394,60.2,25.4
1572581279194,60.2,25.3
1572581268939,60.3,25.4
1572581185287,60.1,25.3
1572581161461,60.2,25.3
1572581110929,60.2,25.3
1572581082894,60.2,25.4
1572580934504,60.2,25.4
1572580893796,60.3,25.4
1572580863831,60.2,25.3
1572580821052,60.2,25.5
1572580742762,60.3,25.4
1572580732594,60.1,25.4
1572580712163,60.2,25.4
1572580678750,60.2,25.3
1572580654824,60.2,25.3
1572580610640,60.2,25.4
1572580587105,60.2,25.4
1572580489633,60.2,25.4
1572580435596,60.2,25.3
1572580395001,60.3,25.3
1572580367490,60.2,25.4
1572580336937,60.1,25.4
1572580271763,60.2,25.4
1572580248953,60.1,25.5
1572580232037,60.2,25.4
1572580135824,60.2,25.4
1572580102713,60.2,25.4
1572580072641,60.3,25.4
