time,command,ambient_temp,room_temp,humidity,energy,total_energy
2019-11-01 05:07:05.507,off,25.79,26.01,58.35,0.0,0.25
2019-11-01 05:07:10.507,off,25.79,25.93,58.35,0.0,0.25
2019-11-01 05:07:15.507,heating,25.81,26.03,58.27,0.009,0.26
2019-11-01 05:07:20.507,off,25.83,26.0,58.19,0.0,0.26
2019-11-01 05:07:25.507,off,25.8,26.0,58.27,0.0,0.26
2019-11-01 05:07:30.507,off,25.83,26.0,58.19,0.0,0.26
2019-11-01 05:07:35.507,off,25.83,26.0,58.19,0.0,0.26
2019-11-01 05:07:40.507,off,25.81,26.03,58.24,0.0,0.26
2019-11-01 05:07:45.507,off,25.81,26.03,58.24,0.0,0.26
2019-11-01 05:07:50.507,off,25.79,26.03,58.33,0.0,0.26
2019-11-01 05:07:55.507,off,25.79,26.03,58.33,0.0,0.26
2019-11-01 05:08:00.507,off,25.78,25.96,58.36,0.0,0.26
2019-11-01 05:08:05.507,heating,25.75,26.06,58.43,0.009,0.27
2019-11-01 05:08:10.507,off,25.78,25.98,58.36,0.0,0.27
2019-11-01 05:08:15.507,heating,25.78,26.08,58.36,0.009,0.27
2019-11-01 05:08:20.507,off,25.78,26.0,58.36,0.0,0.27
2019-11-01 05:08:25.507,off,25.75,25.93,58.46,0.0,0.27
2019-11-01 05:08:30.507,heating,25.75,26.03,58.46,0.009,0.28
2019-11-01 05:08:35.507,off,25.75,25.95,58.46,0.0,0.28
2019-11-01 05:08:40.507,heating,25.75,26.05,58.46,0.009,0.29
2019-11-01 05:08:45.507,off,25.74,25.97,58.48,0.0,0.29
2019-11-01 05:08:50.507,heating,25.74,26.07,58.48,0.009,0.3
2019-11-01 05:08:55.507,off,25.74,26.0,58.48,0.0,0.3
2019-11-01 05:09:00.507,heating,25.74,26.1,58.48,0.009,0.31
2019-11-01 05:09:05.507,off,25.69,26.02,58.64,0.0,0.31
2019-11-01 05:09:10.507,off,25.69,25.94,58.64,0.0,0.31
