time,relative_humidity,temperature
1572575989122,57.9,26.3
1572575976010,58.0,26.4
1572575902697,57.8,26.4
1572575881742,57.9,26.4
1572575844357,57.9,26.4
1572575718235,57.8,26.4
1572575707667,57.9,26.4
1572575655875,57.8,26.3
1572575536731,57.8,26.4
1572575513003,57.8,26.4
1572575462120,57.7,26.5
1572575402727,57.6,26.4
1572575331926,57.7,26.4
1572575308218,57.7,26.4
1572575261015,57.6,26.4
1572575254383,57.6,26.4
1572575219993,57.6,26.4
1572575159090,57.5,26.4
1572575109354,57.7,26.4
1572575020395,57.6,26.4
1572574965750,57.4,26.4
1572574918940,57.5,26.5
1572574908827,57.5,26.4
1572574864941,57.5,26.3
1572574834270,57.5,26.4
1572574759338,57.4,26.4
1572574728917,57.4,26.4
1572574715530,57.4,26.4
1572574692433,57.4,26.5
1572574625356,57.2,26.4
1572574564270,57.4,26.5
1572574536090,57.2,26.4
1572574462048,57.3,26.4
1572574438148,57.3,26.4
1572574420736,57.3,26.3
1572574414013,57.3,26.4
1572574362864,57.2,26.4
1572574349477,57.3,26.3
1572574304486,57.2,26.4
1572574262773,57.2,26.4
1572574241730,57.3,26.5
1572574204697,57.3,26.4
1572574180831,57.2,26.5
1572574177300,57.2,26.4
1572574143528,57.1,26.4
1572574126307,57.1,26.5
1572574109117,57.1,26.5
1572574062045,57.2,26.4
1572574027020,57.1,26.4
1572574006872,57.2,26.5
1572573958652,57.0,26.4
1572573944560,57.0,26.4
1572573890602,57.0,26.4
1572573758716,57.0,26.4
1572573700427,57.1,26.4
1572573636333,56.9,26.3
1572573624116,57.0,26.4
1572573586553,57.1,26.5
1572573475494,56.9,26.5
1572573398808,56.9,26.4
1572573361449,56.9,26.5
1572573314273,56.8,26.4
1572573297450,56.9,26.4
1572573276917,56.9,26.4
1572573256676,56.9,26.5
1572573240060,57.0,26.4
1572573216490,56.9,26.5
1572573145770,56.9,26.4
1572573126003,57.0,26.5
1572573088665,56.8,26.5
1572573068249,56.8,26.4
1572573040949,56.9,26.4
1572573034149,56.9,26.5
1572573023590,56.8,26.3
1572573012803,56.9,26.4
1572572992303,57.0,26.5
1572572940905,57.0,26.4
1572572923999,56.8,26.4
1572572890199,56.9,26.4
1572572852100,56.9,26.4
1572572834735,56.9,26.5
1572572817895,56.9,26.5
1572572764278,56.9,26.4
1572572709351,56.9,26.4
1572572667511,56.9,26.4
1572572605807,56.8,26.4
1572572592257,56.7,26.4
1572572558788,56.9,26.4
1572572518049,56.8,26.4
1572572487558,56.9,26.5
1572572446429,56.8,26.5
1572572415720,56.8,26.4
1572572402243,56.9,26.5
1572572354282,56.7,26.4
1572572299375,56.8,26.4
1572572288629,56.9,26.5
1572572109447,56.8,26.5
1572572064646,56.7,26.5
1572572050333,56.7,26.5
1572572011746,56.7,26.5
1572572001269,56.8,26.4
1572571892707,56.5,26.4
1572571865409,56.6,26.4
1572571844752,56.5,26.4
1572571804134,56.5,26.4
1572571684142,56.5,26.5
1572571670050,56.6,26.5
1572571653176,56.6,26.4
1572571601490,56.5,26.5
1572571540567,56.4,26.4
1572571478637,56.4,26.5
1572571392488,56.3,26.4
1572571372316,56.3,26.5
1572571335111,56.2,26.5
1572571303550,56.3,26.4
1572571204542,56.1,26.5
1572571159749,56.1,26.5
1572571139523,56.1,26.5
1572571112294,56.1,26.5
1572571070086,55.9,26.4
1572571019940,56.0,26.5
1572570982603,56.0,26.4
1572570937392,55.8,26.5
1572570910261,55.8,26.5
1572570899738,55.8,26.5
1572570882848,56.0,26.5
1572570855612,55.9,26.4
1572570841843,55.9,26.5
1572570806965,55.8,26.4
1572570791737,55.9,26.4
1572570761540,55.9,26.5
1572570751601,55.8,26.4
1572570717070,55.7,26.6
1572570637566,55.8,26.6
1572570623552,55.9,26.4
1572570603072,55.9,26.4
1572570525145,55.8,26.5
1572570521870,55.7,26.5
1572570470534,55.8,26.5
1572570435632,55.6,26.4
1572570428701,55.6,26.4
1572570387781,55.5,26.5
1572570377441,55.6,26.5
1572570273176,55.6,26.4
1572570266341,55.6,26.5
1572570239496,55.5,26.5
1572570191737,55.5,26.5
1572570112987,55.5,26.5
1572570085473,55.4,26.5
1572569983276,55.5,26.5
1572569884466,55.4,26.5
1572569790184,55.3,26.5
1572569780131,55.4,26.5
1572569746581,55.3,26.5
1572569699205,55.3,26.4
1572569629156,55.2,26.5
1572569609035,55.2,26.3
1572569598634,55.3,26.4
1572569571806,55.3,26.5
1572569541243,55.2,26.5
1572569445688,55.3,26.5
1572569398288,55.3,26.5
1572569329638,55.0,26.4
1572569303925,55.1,26.5
1572569194222,55.1,26.5
1572569097779,55.0,26.5
1572569060314,55.0,26.5
1572569056924,55.0,26.4
1572568985860,54.9,26.5
1572568903681,54.9,26.5
1572568873020,54.9,26.5
1572568859284,54.9,26.4
1572568855891,54.9,26.5
1572568817066,54.8,26.5
1572568806419,54.9,26.4
1572568755652,54.8,26.5
1572568728725,54.8,26.4
1572568718732,54.8,26.5
1572568687536,54.8,26.4
1572568660091,54.8,26.5
1572568608842,54.7,26.5
1572568578873,54.7,26.4
1572568503806,54.7,26.5
1572568466445,54.6,26.5
1572568456256,54.8,26.5
1572568371005,54.7,26.4
1572568356140,54.7,26.5
1572568342404,54.7,26.4
1572568315680,54.8,26.4
1572568271571,54.7,26.5
1572568228269,54.7,26.5
1572568211575,54.8,26.5
1572568204227,54.7,26.4
1572568194126,54.7,26.4
1572568163980,54.7,26.4
1572568160707,54.7,26.4
1572568134060,54.7,26.4
1572568090094,54.7,26.4
1572568071518,54.9,26.5
1572568041422,54.8,26.5
1572567949853,54.9,26.4
1572567943070,54.8,26.5
1572567925872,54.8,26.4
1572567835111,54.7,26.5
1572567831510,54.9,26.5
1572567796401,54.8,26.6
1572567758091,54.8,26.5
1572567715671,54.6,26.5
1572567691916,54.7,26.4
1572567610159,54.7,26.4
1572567586537,54.7,26.5
1572567555824,54.9,26.4
1572567507694,54.9,26.5
1572567493664,54.7,26.5
1572567440687,54.7,26.4
1572567433023,54.7,26.4
1572567422334,54.8,26.5
1572567395254,54.7,26.6
1572567353817,54.8,26.4
1572567339768,54.8,26.5
1572567322991,54.9,26.5
1572567222843,54.8,26.4
1572567215948,54.8,26.5
1572567198807,54.9,26.5
1572567150253,54.8,26.4
1572567129817,54.7,26.4
1572567102429,54.7,26.4
1572567082027,54.7,26.4
1572567075323,54.6,26.5
1572567061406,54.7,26.4
1572567044464,54.8,26.5
1572567030759,54.7,26.4
1572567016912,54.7,26.5
1572566959145,54.8,26.5
1572566840905,54.7,26.4
1572566807325,54.7,26.4
1572566747618,54.7,26.4
1572566715013,54.7,26.5
1572566677998,54.7,26.3
1572566578777,54.7,26.5
1572566503683,54.9,26.5
1572566494871,54.8,26.4
1572566375423,54.7,26.4
1572566365263,54.7,26.5
1572566358392,54.8,26.3
1572566331714,54.8,26.5
1572566324858,54.8,26.5
1572566290709,54.7,26.4
1572566276639,54.7,26.5
1572566198223,54.8,26.5
1572566177769,54.7,26.4
1572566126958,54.7,26.5
1572566069123,54.6,26.4
1572566027913,54.5,26.4
1572565882334,54.5,26.5
1572565831375,54.5,26.4
1572565760926,54.6,26.4
1572565697336,54.5,26.4
1572565661534,54.4,26.4
1572565637932,54.5,26.3
1572565572110,54.4,26.5
1572565534562,54.5,26.3
1572565523763,54.5,26.5
1572565508708,54.6,26.5
1572565483252,54.5,26.4
1572565476206,54.6,26.5
1572565425457,54.5,26.4
1572565401996,54.6,26.3
1572565370110,54.5,26.5
1572565353717,54.5,26.4
1572565346785,54.5,26.5
1572565295939,54.4,26.4
1572565288956,54.5,26.5
1572565285600,54.5,26.4
1572565218427,54.4,26.5
1572565170158,54.4,26.4
1572565029251,54.4,26.4
1572565012501,54.3,26.4
1572564965467,54.4,26.4
1572564910939,54.6,26.5
1572564843079,54.4,26.5
1572564826055,54.5,26.4
1572564789238,54.5,26.4
1572564769000,54.5,26.5
1572564738661,54.4,26.4
1572564698214,54.3,26.4
1572564674753,54.3,26.4
1572564651172,54.3,26.4
1572564600347,54.2,26.4
1572564568793,54.2,26.5
1572564508347,54.3,26.4
1572564443934,54.4,26.4
1572564368079,54.4,26.4
1572564292218,54.3,26.4
1572564265459,54.3,26.4
1572564248797,54.4,26.5
1572564238651,54.3,26.3
1572564157582,54.2,26.4
1572564116970,54.3,26.4
1572564007762,54.1,26.5
1572563976437,54.2,26.4
1572563928701,54.0,26.4
1572563924155,54.0,26.5
1572563846664,54.1,26.4
1572563836811,54.1,26.5
1572563799284,54.0,26.4
1572563758077,54.0,26.3
1572563710692,54.1,26.5
1572563690452,54.1,26.3
1572563636397,54.2,26.4
1572563582471,54.3,26.5
1572563551756,54.3,26.4
1572563530235,54.4,26.5
1572563517037,54.3,26.4
1572563503753,54.4,26.4
1572563497092,54.3,26.5
1572563450339,54.4,26.5
1572563408086,54.5,26.5
1572563387683,54.5,26.4
1572563384298,54.5,26.4
1572563367352,54.6,26.4
1572563322709,54.6,26.5
1572563268096,54.5,26.4
1572563213994,54.6,26.4
1572563203796,54.5,26.4
1572563173192,54.7,26.3
1572563166148,54.7,26.4
1572563082494,54.7,26.4
1572563043515,54.6,26.4
1572563026175,54.7,26.5
1572562992221,54.6,26.3
1572562865746,54.7,26.5
1572562823376,54.7,26.4
1572562770151,54.8,26.5
1572562739382,54.8,26.4
1572562708797,54.8,26.4
1572562698289,54.8,26.5
1572562681457,55.0,26.4
1572562650938,54.7,26.4
1572562591586,54.9,26.3
1572562560746,54.7,26.4
1572562534041,54.6,26.3
1572562513738,54.6,26.4
1572562486184,54.8,26.3
1572562369394,54.8,26.4
1572562362633,54.8,26.3
1572562352437,54.7,26.4
1572562288597,54.5,26.3
1572562271837,54.7,26.4
