time,relative_humidity,temperature
1572584337184,59.5,25.2
1572584296675,59.6,25.3
1572584269355,59.5,25.2
1572584235393,59.5,25.3
1572584180864,59.5,25.1
1572584165839,59.5,25.2
1572584131525,59.6,25.3
1572584090216,59.6,25.2
1572584026218,59.6,25.2
1572583985535,59.5,25.3
1572583939655,59.6,25.2
1572583929776,59.4,25.2
1572583906303,59.6,25.1
1572583892179,59.6,25.2
1572583885342,59.6,25.2
1572583848275,59.5,25.1
1572583827767,59.6,25.2
1572583776567,59.6,25.3
1572583752787,59.5,25.2
1572583697853,59.5,25.2
1572583680921,59.6,25.2
1572583667248,59.6,25.3
1572583602114,59.6,25.2
1572583564811,59.6,25.3
1572583544300,59.6,25.2
1572583456707,59.6,25.2
1572583443331,59.6,25.2
1572583426442,59.6,25.2
1572583368571,59.6,25.2
1572583345173,59.6,25.2
1572583284229,59.6,25.3
1572583274136,59.6,25.2
1572583232983,59.6,25.2
1572583229338,59.5,25.2
1572583216214,59.6,25.2
1572583165783,59.6,25.3
1572583162344,59.6,25.2
1572583142002,59.6,25.3
1572583108058,59.6,25.2
1572583091208,59.6,25.3
1572583074047,59.6,25.2
1572583026545,59.6,25.2
1572583016728,59.5,25.2
1572582996687,59.6,25.3
1572582963149,59.6,25.3
1572582952992,59.6,25.2
1572582925663,59.6,25.3
1572582905201,59.6,25.2
1572582831198,59.6,25.2
1572582776691,59.7,25.2
1572582766554,59.7,25.2
1572582739767,59.5,25.2
1572582688803,59.6,25.2
1572582685506,59.6,25.2
1572582675619,59.6,25.2
1572582651349,59.7,25.3
1572582640832,59.6,25.3
1572582630561,59.6,25.3
1572582620127,59.6,25.2
1572582561407,59.6,25.2
1572582530367,59.7,25.2
1572582496448,59.6,25.2
1572582459062,59.6,25.3
1572582438759,59.7,25.2
1572582432000,59.6,25.3
1572582322806,59.7,25.2
1572582315613,59.7,25.2
1572582305332,59.7,25.3
1572582298790,59.6,25.3
1572582282125,59.6,25.3
1572582268462,59.7,25.3
1572582254791,59.7,25.2
1572582230999,59.7,25.3
1572582190955,59.6,25.2
1572582166917,59.6,25.3
1572582156856,59.6,25.3
1572582106464,59.7,25.3
1572582096116,59.6,25.3
1572582061881,59.6,25.3
1572582058503,59.7,25.2
1572582028693,59.7,25.3
1572581850000,59.7,25.2
1572581835409,59.6,25.3
1572581815566,59.8,25.3
1572581812203,59.6,25.3
1572581795275,59.7,25.3
1572581775514,59.6,25.3
1572581758804,59.7,25.3
1572581731356,59.7,25.3
1572581721441,59.7,25.3
1572581718052,59.7,25.4
1572581655710,59.7,25.3
1572581645382,59.7,25.3
1572581631495,59.6,25.3
1572581598208,59.6,25.4
1572581578001,59.7,25.4
1572581530646,59.8,25.3
1572581514102,59.6,25.2
1572581331174,59.7,25.3
1572581324291,59.6,25.3
1572581307467,59.7,25.2
1572581262386,59.8,25.3
1572581245239,59.6,25.3
1572581202094,59.7,25.3
1572581191945,59.8,25.3
1572581151355,59.7,25.3
1572581120795,59.6,25.3
1572581059153,59.6,25.3
1572581039419,59.7,25.4
1572581032696,59.6,25.3
1572580998784,59.7,25.3
1572580975057,59.6,25.3
1572580967907,59.7,25.3
1572580951080,59.8,25.3
1572580944416,59.6,25.3
1572580917296,59.6,25.3
1572580907388,59.6,25.2
1572580883644,59.7,25.3
1572580829493,59.7,25.3
1572580729145,59.7,25.3
1572580725841,59.8,25.3
1572580685351,59.8,25.4
1572580651295,59.6,25.3
1572580560240,59.7,25.4
1572580512851,59.7,25.3
1572580496297,59.7,25.3
1572580476155,59.6,25.3
1572580452088,59.8,25.4
1572580448735,59.6,25.3
1572580377813,59.7,25.3
1572580346964,59.6,25.4
1572580319377,59.7,25.3
1572580289031,59.7,25.3
1572580264719,59.8,25.4
1572580245608,59.8,25.3
1572580222054,59.8,25.3
1572580172765,59.8,25.4
1572580162540,59.7,25.4
1572580149412,59.7,25.4
1572580139215,59.7,25.3
1572580125985,59.7,25.3
1572580112558,59.8,25.4
1572580106081,59.7,25.3
1572580089649,59.7,25.3
1572580049287,59.7,25.4
1572580036041,59.7,25.3
